epoch,lr-Adam,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,2.6342260390696956e-07,0,,,,,,
0,,0,,0.5416510105133057,6.6987223625183105,0.5611706972122192,1.3324559926986694,0.4084921181201935
0,,0,0.6285107135772705,,,,,
,2.6342260390696956e-07,1,,,,,,
1,,1,,0.5417736768722534,6.700032711029053,0.5612884163856506,1.332550048828125,0.40845489501953125
1,,1,0.6410532593727112,,,,,
