epoch,lr-Ranger,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.02,0,,,,,,
0,,2,,0.26358115673065186,0.7481159567832947,0.2671149671077728,1.1975058317184448,0.07135040313005447
0,,2,0.03363370895385742,,,,,
,0.02,3,,,,,,
1,,5,,0.1565924733877182,0.43798255920410156,0.16262315213680267,0.5663939118385315,0.02644629217684269
1,,5,0.06455712765455246,,,,,
,0.02,6,,,,,,
2,,8,,0.2350727766752243,0.6971222758293152,0.2394072711467743,0.5073661208152771,0.05731583759188652
2,,8,0.06567209213972092,,,,,
