epoch,step,train_backcast_loss_epoch,train_backcast_loss_step,train_forecast_loss_epoch,train_forecast_loss_step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_MASE,val_RMSE,val_SMAPE,val_backcast_loss,val_forecast_loss,val_loss
0,49,,0.7597438097000122,,7.89254903793335,,7.89254903793335,,,,,,,,
0,99,,0.8479439616203308,,7.48046875,,7.48046875,,,,,,,,
0,119,,,,,,,0.35542425513267517,0.0008470687898807228,1.541993498802185,0.5400453805923462,0.000846437702421099,0.9697717428207397,1.541993498802185,1.541993498802185
0,119,0.7799367904663086,,8.77324390411377,,8.77324390411377,,,,,,,,,
1,149,,0.7835642099380493,,8.415667533874512,,8.415667533874512,,,,,,,,
1,199,,0.8002212643623352,,9.200804710388184,,9.200804710388184,,,,,,,,
1,239,,,,,,,0.8726679682731628,0.0020765732042491436,3.786034345626831,0.9401530623435974,0.0020789809059351683,0.923939049243927,3.786034345626831,3.786034345626831
1,239,0.7865093350410461,,8.490890502929688,,8.490890502929688,,,,,,,,,
2,249,,0.6817261576652527,,8.411019325256348,,8.411019325256348,,,,,,,,
2,299,,0.8451598882675171,,7.926155090332031,,7.926155090332031,,,,,,,,
2,349,,0.758711040019989,,9.432621955871582,,9.432621955871582,,,,,,,,
2,359,,,,,,,0.8094863891601562,0.0019262932473793626,3.5119235515594482,0.8711434006690979,0.00192830350715667,0.9106435775756836,3.5119235515594482,3.5119235515594482
2,359,0.7885733246803284,,8.410030364990234,,8.410030364990234,,,,,,,,,
3,399,,0.7139742970466614,,7.585731506347656,,7.585731506347656,,,,,,,,
3,449,,0.7711196541786194,,8.2859468460083,,8.2859468460083,,,,,,,,
3,479,,,,,,,0.4054476320743561,0.0009663755190558732,1.759018063545227,0.5970243215560913,0.0009654542081989348,0.9725874662399292,1.759018063545227,1.759018063545227
3,479,0.779949963092804,,8.571451187133789,,8.571451187133789,,,,,,,,,
4,499,,0.7232705354690552,,8.924695014953613,,8.924695014953613,,,,,,,,
4,549,,0.7825206518173218,,8.216263771057129,,8.216263771057129,,,,,,,,
4,599,,0.8064231276512146,,8.046473503112793,,8.046473503112793,,,,,,,,
4,599,,,,,,,0.4456125795841217,0.001061113434843719,1.9332720041275024,0.5314978361129761,0.0010611575562506914,0.9286218285560608,1.9332720041275024,1.9332720041275024
4,599,0.7849183678627014,,8.511938095092773,,8.511938095092773,,,,,,,,,
